# CO2 expressed as a mole fraction in dry air, micromol/mol, abbreviated as ppm.
# CO2-concetraions are from NORESM2-MM SSP370 scenario.
# year     mean      unc
  1948   312.53      0.00
  1949   312.64      0.00
  1950   312.82      0.00
  1951   313.03      0.00
  1952   313.35      0.00
  1953   313.73      0.00
  1954   314.09      0.00
  1955   314.41      0.00
  1956   314.70      0.00
  1957   315.00      0.00
  1958   315.36      0.00
  1959   315.85      0.00
  1960   316.61      0.00
  1961   317.31      0.00
  1962   318.03      0.00
  1963   318.66      0.00
  1964   319.31      0.00
  1965   319.89      0.00
  1966   320.82      0.00
  1967   321.52      0.00
  1968   322.38      0.00
  1969   323.33      0.00
  1970   324.67      0.00
  1971   325.57      0.00
  1972   327.42      0.00
  1973   329.69      0.00
  1974   330.66      0.00
  1975   330.91      0.00
  1976   331.68      0.00
  1977   333.33      0.00
  1978   335.00      0.00
  1979   336.67      0.00
  1980   338.61      0.00
  1981   339.96      0.00
  1982   340.77      0.00
  1983   342.28      0.00
  1984   343.97      0.00
  1985   345.46      0.00
  1986   346.96      0.00
  1987   348.85      0.00
  1988   351.16      0.00
  1989   352.84      0.00
  1990   354.08      0.00
  1991   355.30      0.00
  1992   356.21      0.00
  1993   357.00      0.00
  1994   358.33      0.00
  1995   360.21      0.00
  1996   361.94      0.00
  1997   363.43      0.00
  1998   365.83      0.00
  1999   367.76      0.00
  2000   369.16      0.00
  2001   370.75      0.00
  2002   372.88      0.00
  2003   375.28      0.00
  2004   377.03      0.00
  2005   378.93      0.00
  2006   380.94      0.00
  2007   382.67      0.00
  2008   384.66      0.00
  2009   386.39      0.00
  2010   388.69      0.00
  2011   390.92      0.00
  2012   393.09      0.00
  2013   395.61      0.00
  2014   397.32      0.00
  2015   400.04      0.00
  2016   403.05      0.00
  2017   405.85      0.00
  2018   408.84      0.00
  2019   411.96      0.00
  2020   415.17      0.00
  2021   418.47      0.00
  2022   421.85      0.00
  2023   425.29      0.00
  2024   428.79      0.00
  2025   432.35      0.00
  2026   435.98      0.00
  2027   439.67      0.00
  2028   443.44      0.00
  2029   447.27      0.00
  2030   451.17      0.00
  2031   455.14      0.00
  2032   459.17      0.00
  2033   463.24      0.00
  2034   467.37      0.00
  2035   471.54      0.00
  2036   475.77      0.00
  2037   480.05      0.00
  2038   484.38      0.00
  2039   488.78      0.00
  2040   493.22      0.00
  2041   497.73      0.00
  2042   502.29      0.00
  2043   506.90      0.00
  2044   511.56      0.00
  2045   516.27      0.00
  2046   521.02      0.00
  2047   525.83      0.00
  2048   530.70      0.00
  2049   535.61      0.00
  2050   540.58      0.00
  2051   545.61      0.00
  2052   550.69      0.00
  2053   555.83      0.00
  2054   561.01      0.00
  2055   566.24      0.00
  2056   571.53      0.00
  2057   576.87      0.00
  2058   582.27      0.00
  2059   587.72      0.00
  2060   593.23      0.00
  2061   598.80      0.00
  2062   604.43      0.00
  2063   610.11      0.00
  2064   615.85      0.00
  2065   621.65      0.00
  2066   627.51      0.00
  2067   633.43      0.00
  2068   639.40      0.00
  2069   645.44      0.00
  2070   651.55      0.00
  2071   657.71      0.00
  2072   663.94      0.00
  2073   670.22      0.00
  2074   676.57      0.00
  2075   682.99      0.00
  2076   689.46      0.00
  2077   696.01      0.00
  2078   702.61      0.00
  2079   709.28      0.00
  2080   716.01      0.00
  2081   722.81      0.00
  2082   729.69      0.00
  2083   736.63      0.00
  2084   743.66      0.00
  2085   750.77      0.00
  2086   757.95      0.00
  2087   765.22      0.00
  2088   772.57      0.00
  2089   779.99      0.00
  2090   787.49      0.00
  2091   795.08      0.00
  2092   802.74      0.00
  2093   810.49      0.00
  2094   818.33      0.00
  2095   826.26      0.00
  2096   834.27      0.00
  2097   842.37      0.00
  2098   850.56      0.00
  2099   858.83      0.00
  2100   867.20      0.00
