# CO2 expressed as a mole fraction in dry air, micromol/mol, abbreviated as ppm.
# CO2-concetraions are from NORESM2-MM historic and SSP585 scenario.
# year     mean      unc
  1948   312.53      0.00
  1949   312.64      0.00
  1950   312.82      0.00
  1951   313.03      0.00
  1952   313.35      0.00
  1953   313.73      0.00
  1954   314.09      0.00
  1955   314.41      0.00
  1956   314.70      0.00
  1957   315.00      0.00
  1958   315.36      0.00
  1959   315.85      0.00
  1960   316.61      0.00
  1961   317.31      0.00
  1962   318.03      0.00
  1963   318.66      0.00
  1964   319.31      0.00
  1965   319.89      0.00
  1966   320.82      0.00
  1967   321.52      0.00
  1968   322.38      0.00
  1969   323.33      0.00
  1970   324.67      0.00
  1971   325.57      0.00
  1972   327.42      0.00
  1973   329.69      0.00
  1974   330.66      0.00
  1975   330.91      0.00
  1976   331.68      0.00
  1977   333.33      0.00
  1978   335.00      0.00
  1979   336.67      0.00
  1980   338.61      0.00
  1981   339.96      0.00
  1982   340.77      0.00
  1983   342.28      0.00
  1984   343.97      0.00
  1985   345.46      0.00
  1986   346.96      0.00
  1987   348.85      0.00
  1988   351.16      0.00
  1989   352.84      0.00
  1990   354.08      0.00
  1991   355.30      0.00
  1992   356.21      0.00
  1993   357.00      0.00
  1994   358.33      0.00
  1995   360.21      0.00
  1996   361.94      0.00
  1997   363.43      0.00
  1998   365.83      0.00
  1999   367.76      0.00
  2000   369.16      0.00
  2001   370.75      0.00
  2002   372.88      0.00
  2003   375.28      0.00
  2004   377.03      0.00
  2005   378.93      0.00
  2006   380.94      0.00
  2007   382.67      0.00
  2008   384.66      0.00
  2009   386.39      0.00
  2010   388.69      0.00
  2011   390.92      0.00
  2012   393.09      0.00
  2013   395.61      0.00
  2014   397.32      0.00
  2015   400.04      0.00
  2016   403.05      0.00
  2017   405.83      0.00
  2018   408.77      0.00
  2019   411.80      0.00
  2020   414.90      0.00
  2021   418.07      0.00
  2022   421.35      0.00
  2023   424.73      0.00
  2024   428.23      0.00
  2025   431.84      0.00
  2026   435.56      0.00
  2027   439.39      0.00
  2028   443.33      0.00
  2029   447.37      0.00
  2030   451.53      0.00
  2031   455.79      0.00
  2032   460.18      0.00
  2033   464.70      0.00
  2034   469.34      0.00
  2035   474.12      0.00
  2036   479.04      0.00
  2037   484.09      0.00
  2038   489.26      0.00
  2039   494.58      0.00
  2040   500.03      0.00
  2041   505.62      0.00
  2042   511.36      0.00
  2043   517.24      0.00
  2044   523.28      0.00
  2045   529.47      0.00
  2046   535.82      0.00
  2047   542.33      0.00
  2048   548.99      0.00
  2049   555.81      0.00
  2050   562.80      0.00
  2051   569.95      0.00
  2052   577.28      0.00
  2053   584.80      0.00
  2054   592.52      0.00
  2055   600.45      0.00
  2056   608.57      0.00
  2057   616.89      0.00
  2058   625.41      0.00
  2059   634.13      0.00
  2060   643.06      0.00
  2061   652.19      0.00
  2062   661.53      0.00
  2063   671.06      0.00
  2064   680.80      0.00
  2065   690.76      0.00
  2066   700.92      0.00
  2067   711.29      0.00
  2068   721.87      0.00
  2069   732.66      0.00
  2070   743.68      0.00
  2071   754.91      0.00
  2072   766.34      0.00
  2073   777.94      0.00
  2074   789.73      0.00
  2075   801.71      0.00
  2076   813.86      0.00
  2077   826.21      0.00
  2078   838.74      0.00
  2079   851.47      0.00
  2080   864.38      0.00
  2081   877.48      0.00
  2082   890.70      0.00
  2083   903.98      0.00
  2084   917.30      0.00
  2085   930.66      0.00
  2086   944.09      0.00
  2087   957.56      0.00
  2088   971.09      0.00
  2089   984.68      0.00
  2090   998.32      0.00
  2091   1012.02      0.00
  2092   1025.72      0.00
  2093   1039.43      0.00
  2094   1053.13      0.00
  2095   1066.83      0.00
  2096   1080.52      0.00
  2097   1094.21      0.00
  2098   1107.88      0.00
  2099   1121.54      0.00
  2100   1135.21      0.00
