basinid	basin_name	continent	ocean	mouth_lon	mouth_lat	basin_area	runoff	din_yld	dip_yld	don_yld	dop_yld	doc_yld	pn_yld	pp_yld	poc_yld	tss_yld	din_load	dip_load	don_load	dop_load	doc_load	pn_load	pp_load	poc_load	tss_load	nat_DSi(kg Si/km2)	DSi_Ddip(kg_Si/km2)	DSi_Dsed(kg_Si/km2)	DSI_nat(kg_Si)	DSI_dip(kg_Si)	DSI_sed(kg_Si)
1	Amazon	South_America	Atlantic_Ocean	-51.75	-1.25	5888930.0	1057.6	582.6	17.4	321.0	17.3	4818.6	472.0	138.3	2933.5	79.0	3409004	102219	1890211	101781	28376511	2759479	808686	17151902	461775456	3351.41833817	3350.47994104	3350.34588431	19595307338.9	19589820652.9	19589036840.6
2	Nile	Africa	Mediterranean+Black_Sea	31.25	31.25	3826750.0	123.1	1.8	0.0	0.1	0.0	2.1	7.3	2.2	47.1	3.0	6708	10	536	31	7901	27709	8463	180159	11565236	395.606010196	59.3409015294	25.3029604121	1511843972.5	226776595.876	96697540.4814
3	Zaire	Africa	Atlantic_Ocean	12.75	-5.75	3733740.0	618.7	218.2	10.1	183.1	9.6	2890.5	223.9	65.0	1382.4	29.3	806671	37860	683722	35798	10792390	827252	240288	5107337	108243000	2009.52038084	1359.2395856	787.772179696	7424032380.57	5021615502.22	2910369173.83
4	Mississippi	North_America	Atlantic_Ocean	-90.25	29.75	3203120.0	85.4	182.5	5.8	30.4	2.2	399.6	52.3	15.7	334.5	17.1	584074	18643	97328	7098	1279971	167284	50220	1070272	54638480	539.474514528	449.30674417	484.631535381	1725870682.64	1437408656.74	1550418669.04
5	Ob	Asia	Arctic_Ocean	69.25	66.75	3101110.0	72.7	42.6	3.4	24.0	1.5	410.9	47.7	14.3	305.7	16.2	128922	10478	74385	4528	1274312	144061	43342	923983	49052504	355.767139316	332.503526076	337.324170814	1075242140.5	1004932056.93	1019501587.93
6	Parana	South_America	Atlantic_Ocean	-58.75	-34.25	2714830.0	233.9	95.5	1.8	77.7	5.1	1219.4	61.8	18.5	393.8	19.1	254472	4834	210898	13794	3310413	164312	49245	1047978	50802904	1285.53864947	192.83079742	467.036191351	3420676936.98	513101540.547	1242731931.2
7	Yenisei	Asia	Arctic_Ocean	82.25	71.25	2620720.0	116.3	25.1	0.6	33.1	1.7	521.1	45.4	13.3	284.5	9.6	64674	1576	86805	4452	1365730	116944	34371	732679	24636566	577.216579067	103.391033642	368.5585579	1486713654.04	266300149.712	949281535.241
8	Lena	Asia	Arctic_Ocean	127.25	73.25	2500290.0	80.5	14.0	0.5	21.8	1.1	362.4	47.1	13.9	297.3	12.0	34194	1339	54407	2679	906138	114808	33995	725063	29220914	363.476519739	362.506037431	362.364281588	886482883.991	884115974.691	883770246.366
9	Niger	Africa	Atlantic_Ocean	6.75	4.75	2238850.0	181.2	71.3	2.9	56.1	3.1	881.3	59.0	17.3	369.4	12.5	159672	6412	125686	6891	1973112	131900	38796	826583	27959450	382.987576893	217.877802618	220.447649259	856881085.037	487471080.466	493220752.547
10	Tamanrasett	Africa	Atlantic_Ocean	-16.25	20.25	1817700.0	0.0	0.1	0.1	0.4	0.0	0.0	0.0	0.0	0.0	5.2	271	233	727	86	7	0	0	0	0	-9999	-9999	-9999	0	0	0
