F  AMAZONAS                          Annual mean:(Dai & Trenberth 2002); Monthly var: (Dumenil at al, 1993)
    5330.0 0.06470 0.07708 0.09213 0.10441 0.11312 0.11327 0.10729 0.09414 0.07402 0.05515 0.05039 0.05430
     0.5    -48.35   
T  Petermann Gletscher       Annual mean:(https://data1.geo.tu-dresden.de/gis_gmb/index.html#grid);(Section S1; 50% of 23.5GT/yr= 11.75GT/yr);Monthly var: equal (1/12)
    11.75  0.08330 0.08330 0.08330 0.08330 0.08330 0.08370 0.08330 0.08330 0.08330 0.08330 0.08330 0.08330
    80.57   -60.1
T  Humboldt Gletscher        Annual mean:(https://data1.geo.tu-dresden.de/gis_gmb/index.html#grid);(Section S1; 10% of 23.5GT/yr= 2.35GT/yr);Monthly var: equal (1/12)
     2.35  0.08330 0.08330 0.08330 0.08330 0.08330 0.08370 0.08330 0.08330 0.08330 0.08330 0.08330 0.08330
    79.71   -64.27
T  Ryder Gletscher           Annual mean:(https://data1.geo.tu-dresden.de/gis_gmb/index.html#grid);(Section S1; 10% of 23.5GT/yr= 2.35GT/yr);Monthly var: equal (1/12)
     2.35  0.08330 0.08330 0.08330 0.08330 0.08330 0.08370 0.08330 0.08330 0.08330 0.08330 0.08330 0.08330
    81.47   -50.28
T  C.H. Ostenfeld Gletscher   Annual mean:(https://data1.geo.tu-dresden.de/gis_gmb/index.html#grid);(Section S1; 10% of 23.5GT/yr= 2.35GT/yr);Monthly var: equal (1/12)
     2.35  0.08330 0.08330 0.08330 0.08330 0.08330 0.08370 0.08330 0.08330 0.08330 0.08330 0.08330 0.08330
    81.58   -45.20
T  Hager Brae               Annual mean:(https://data1.geo.tu-dresden.de/gis_gmb/index.html#grid);(Section S1; 10% of 23.5GT/yr= 2.35GT/yr);Monthly var: equal (1/12)
     2.35  0.08330 0.08330 0.08330 0.08330 0.08330 0.08370 0.08330 0.08330 0.08330 0.08330 0.08330 0.08330
    81.45   -27.62
T  Academy Glacier      Annual mean:(https://data1.geo.tu-dresden.de/gis_gmb/index.html#grid);(Section S1; 10% of 23.5GT/yr= 2.35GT/yr);Monthly var: equal (1/12)
     2.35  0.08330 0.08330 0.08330 0.08330 0.08330 0.08370 0.08330 0.08330 0.08330 0.08330 0.08330 0.08330
    81.63   -32.38
T  NIOghalvfjerdsfjorden   Annual mean:(https://data1.geo.tu-dresden.de/gis_gmb/index.html#grid);(Section S2; 40% of 2.9GT/yr= 1.16GT/yr);Monthly var: equal (1/12)
     1.16  0.08330 0.08330 0.08330 0.08330 0.08330 0.08370 0.08330 0.08330 0.08330 0.08330 0.08330 0.08330
    79.33   -22.59
T  zachariae isstrøm    Annual mean:(https://data1.geo.tu-dresden.de/gis_gmb/index.html#grid);(Section S2; 40% of 2.9GT/yr= 1.16GT/yr);Monthly var: equal (1/12)
     1.16  0.08330 0.08330 0.08330 0.08330 0.08330 0.08370 0.08330 0.08330 0.08330 0.08330 0.08330 0.08330
    78.92   -20.54
T  Storstrømmen     Annual mean:(https://data1.geo.tu-dresden.de/gis_gmb/index.html#grid);(Section S2; 20% of 2.9GT/yr= 0.58GT/yr);Monthly var: equal (1/12)
     0.58  0.08330 0.08330 0.08330 0.08330 0.08330 0.08370 0.08330 0.08330 0.08330 0.08330 0.08330 0.08330
    76.72   -22.34 
T  Kangerlussuaq Gl    Annual mean:(https://data1.geo.tu-dresden.de/gis_gmb/index.html#grid);(Section S3; 35% of 45.3GT/yr= 15.86GT/yr);Monthly var: equal (1/12)
    15.86  0.08330 0.08330 0.08330 0.08330 0.08330 0.08370 0.08330 0.08330 0.08330 0.08330 0.08330 0.08330
    68.61   -32.97 
T  kong christian 1V glacier   Annual mean:(https://data1.geo.tu-dresden.de/gis_gmb/index.html#grid);(Section S3; 30% of 45.3GT/yr= 13.59GT/yr);Monthly var: equal (1/12)
